id,year,month,nombre,codigoruta,nombreruta,pasajerosadultomayor,pasajerosregulares,pasajerostotales,cant_feriados,nombres_feriados,es_feriado_mes,precipitacion_mm,temperatura_c,dia_semana,es_fin_semana,trimestre,temporada,nivel_precipitacion,feriado_finde,periodo_escolar,ruta_promedio_pasajeros,proporcion_adultos_mayor,year_norm
473,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",336,CARTAGO-PARAISO Y EXTENSIONES - CACHI-LOAIZA-PEÑAS BLANCAS-TUCURRIQUE-EL HUMO-PIEDRA AZUL-REGADO-BARRIO LA MINITA,275,6578,6853,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,29720.25316455696,0.04012255617157864,0
474,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",340,CARTAGO-CACHI-LOAIZA PEÑAS BLANCAS Y VICEVERSA,1632,31649,33281,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,18970.625,0.049035514692626646,0
475,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",340,CARTAGO-CACHI-LOAIZA PEÑAS BLANCAS Y VICEVERSA,0,300,300,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,18970.625,0.0,0
476,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",340 A,CARTAGO-TUCURRIQUE-EL HUMO,505,2835,3340,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,3097.625,0.15115234959592935,0
477,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",340 A,CARTAGO-TUCURRIQUE-EL HUMO,0,0,0,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,3097.625,0.0,0
478,2021,1,"COOPERATIVA DE TRANSPORTISTAS DE PARAISO, R. L. (COOPEPAR R.L.)",341,CARTAGO-PIEDRA AZUL-RIO REGADO-Bº LA MINITA,246,3789,4035,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,4694.5,0.06095143706640238,0
514,2021,1,"CORPORACION TRANSPORTES EL ALTO, LIMITADA",310,"CARTAGO-LA CRUZ DE CARAVACA-EL ALTO, EXTENSION A MATA DE MORA Y EXTENSION A FINCA PAEZ Y VICEVERSA",359,7511,7870,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,12223.333333333334,0.04561046880955406,0
515,2021,1,"CORPORACION TRANSPORTES EL ALTO, LIMITADA",310,"CARTAGO-LA CRUZ DE CARAVACA-EL ALTO, EXTENSION A MATA DE MORA Y EXTENSION A FINCA PAEZ Y VICEVERSA",340,7255,7595,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,12223.333333333334,0.04476040021063718,0
516,2021,1,"CORPORACION TRANSPORTES EL ALTO, LIMITADA",310,"CARTAGO-LA CRUZ DE CARAVACA-EL ALTO, EXTENSION A MATA DE MORA Y EXTENSION A FINCA PAEZ Y VICEVERSA",175,4890,5065,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,12223.333333333334,0.034544018949861824,0
597,2021,1,"GEMON DE CARTAGO, S.A.",342,CARTAGO-PACAYAS-LA PASTORA-SANTA CRUZ,982,6006,6988,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,14207.481481481482,0.140506510230362,0
598,2021,1,"GEMON DE CARTAGO, S.A.",342,CARTAGO-PACAYAS-LA PASTORA-SANTA CRUZ,895,7384,8279,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,14207.481481481482,0.10809178743961352,0
599,2021,1,"GEMON DE CARTAGO, S.A.",342,CARTAGO-PACAYAS-LA PASTORA-SANTA CRUZ,1595,14208,15803,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,14207.481481481482,0.10092381675525183,0
606,2021,1,"GRUPO EMPRESARIAL EL MOLINO DEL SUR, S.A.",321,CARTAGO-RESIDENCIAL LOS MOLINOS,357,1450,1807,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,1648.375,0.19745575221238937,0
672,2021,1,"MADERAS Y MATERIALES DEL SUR, S.A.",337,CARTAGO-FRAILES-SANTA CRUZ,60,285,345,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,1798.5972222222222,0.17341040462427745,0
673,2021,1,"MADERAS Y MATERIALES DEL SUR, S.A.",337,CARTAGO-FRAILES-SANTA CRUZ,138,1942,2080,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,1798.5972222222222,0.06631427198462278,0
706,2021,1,"MUSOC, S.A.",100,SAN JOSE-CARTAGO-EL EMPALME-DOTA-TARRAZU-LEON CORTES-SAN ISIDRO DE EL GENERAL Y VICEVERSA,363,13125,13488,1,"[""New Year's Day""]",1,16.49,18.79,4,0,1,0,0,0,0,8674.785310734464,0.026910816220624214,0
